time,open,high,low,close
2024-01-08T11:00:00-05:00,16658.25,16673.75,16640.25,16649.25
2024-01-08T11:30:00-05:00,16649,16679.25,16648.25,16677.25
2024-01-08T12:00:00-05:00,16677.5,16697,16674.5,16685
2024-01-08T12:30:00-05:00,16685.25,16718.75,16682.25,16717
2024-01-08T13:00:00-05:00,16716.75,16721.5,16706,16713.5
2024-01-08T13:30:00-05:00,16714,16742.75,16710.5,16741.5
2024-01-08T14:00:00-05:00,16741.5,16761,16731.75,16756.5
2024-01-08T14:30:00-05:00,16756.75,16793.5,16756.75,16784.75
2024-01-08T15:00:00-05:00,16784.5,16792,16770.75,16778.5
2024-01-08T15:30:00-05:00,16778.25,16811.25,16773.5,16801.25
2024-01-08T16:00:00-05:00,16801.25,16806,16790.75,16791.75
2024-01-08T16:30:00-05:00,16792,16793.25,16786.75,16788.25
2024-01-08T18:00:00-05:00,16788,16790.75,16780.5,16783.5
2024-01-08T18:30:00-05:00,16784,16787.25,16781.75,16785.25
2024-01-08T19:00:00-05:00,16785.25,16793.5,16783,16786.5
2024-01-08T19:30:00-05:00,16786.25,16790.25,16784.25,16787.5
2024-01-08T20:00:00-05:00,16786.75,16792,16782.75,16787.5
2024-01-08T20:30:00-05:00,16787.75,16790,16782.5,16789
2024-01-08T21:00:00-05:00,16789,16795.75,16786,16794.5
2024-01-08T21:30:00-05:00,16794.5,16796,16791,16794.5
2024-01-08T22:00:00-05:00,16794.5,16796,16788,16789.75
2024-01-08T22:30:00-05:00,16790,16791.25,16786,16789.5
2024-01-08T23:00:00-05:00,16789.25,16789.5,16777,16778.25
2024-01-08T23:30:00-05:00,16778.25,16785,16777.75,16781.5
2024-01-09T00:00:00-05:00,16781.75,16785.25,16780.25,16781
2024-01-09T00:30:00-05:00,16780.75,16783.5,16773,16775.75
2024-01-09T01:00:00-05:00,16775.5,16779.75,16772.5,16778.5
2024-01-09T01:30:00-05:00,16778.25,16788,16777,16784.75
2024-01-09T02:00:00-05:00,16784.75,16784.75,16771.25,16771.75
2024-01-09T02:30:00-05:00,16771.5,16772.75,16765.25,16766.75
2024-01-09T03:00:00-05:00,16766.75,16767.5,16746.75,16749
2024-01-09T03:30:00-05:00,16749,16750.75,16736.75,16746
2024-01-09T04:00:00-05:00,16746.25,16754,16719.5,16733.5
2024-01-09T04:30:00-05:00,16733.25,16747.75,16731.75,16740.75
2024-01-09T05:00:00-05:00,16740.5,16742.5,16726.5,16736
2024-01-09T05:30:00-05:00,16735.25,16739.25,16722,16730.25
2024-01-09T06:00:00-05:00,16730.25,16736.5,16710.5,16711.75
2024-01-09T06:30:00-05:00,16711.75,16716.75,16683.75,16694.25
2024-01-09T07:00:00-05:00,16694.5,16718,16688.5,16706.75
2024-01-09T07:30:00-05:00,16706.5,16725.5,16701,16723.25
2024-01-09T08:00:00-05:00,16723,16723.5,16701.25,16701.5
2024-01-09T08:30:00-05:00,16701.25,16704.5,16657.75,16665.5
2024-01-09T09:00:00-05:00,16665.25,16681.5,16664,16668.75
2024-01-09T09:30:00-05:00,16669.25,16714.5,16660.5,16705
2024-01-09T10:00:00-05:00,16705,16747,16683.25,16727.5
2024-01-09T10:30:00-05:00,16727.5,16751.75,16712,16733.75
2024-01-09T11:00:00-05:00,16733.75,16786.5,16733,16779.75
2024-01-09T11:30:00-05:00,16779.75,16833.5,16774.25,16832.75
2024-01-09T12:00:00-05:00,16832.25,16839.75,16815,16826.75
2024-01-09T12:30:00-05:00,16827,16848.5,16814,16845.75
2024-01-09T13:00:00-05:00,16845.75,16868.5,16828,16830.5
2024-01-09T13:30:00-05:00,16830.5,16856.5,16798.5,16840.75
2024-01-09T14:00:00-05:00,16840.75,16856,16808.75,16816
2024-01-09T14:30:00-05:00,16816.25,16835.5,16806,16828.5
2024-01-09T15:00:00-05:00,16828.25,16843,16800.5,16826
2024-01-09T15:30:00-05:00,16826,16841.5,16776.5,16831.75
2024-01-09T16:00:00-05:00,16831.75,16838,16826,16828.25
2024-01-09T16:30:00-05:00,16828.75,16835,16826.25,16829.5
2024-01-09T18:00:00-05:00,16829.5,16829.5,16816.5,16826.25
2024-01-09T18:30:00-05:00,16826.5,16839.25,16826,16837.75
2024-01-09T19:00:00-05:00,16838,16850.75,16837.25,16846.5
2024-01-09T19:30:00-05:00,16846.75,16849,16833,16837.25
2024-01-09T20:00:00-05:00,16837.75,16838.5,16823.5,16827
2024-01-09T20:30:00-05:00,16826.75,16836,16823.5,16834.5
2024-01-09T21:00:00-05:00,16834.75,16839.75,16831,16831
2024-01-09T21:30:00-05:00,16831.5,16841.5,16828.5,16836.75
2024-01-09T22:00:00-05:00,16837,16838,16827,16828.5
2024-01-09T22:30:00-05:00,16828.5,16829,16822.25,16825.75
2024-01-09T23:00:00-05:00,16825.75,16835.75,16824.75,16831.25
2024-01-09T23:30:00-05:00,16832,16832.25,16827,16827.75
2024-01-10T00:00:00-05:00,16827.75,16831.25,16820.75,16821.75
2024-01-10T00:30:00-05:00,16821.75,16828.75,16820,16826.25
2024-01-10T01:00:00-05:00,16825.5,16833.25,16821,16824
2024-01-10T01:30:00-05:00,16824.25,16825.5,16806.25,16812.75
2024-01-10T02:00:00-05:00,16813.25,16832.25,16810.25,16829
2024-01-10T02:30:00-05:00,16829.5,16848.25,16826,16845
2024-01-10T03:00:00-05:00,16845.5,16861.5,16840.75,16855.25
2024-01-10T03:30:00-05:00,16855,16864.75,16846,16859
2024-01-10T04:00:00-05:00,16858.75,16899.75,16852,16896.25
2024-01-10T04:30:00-05:00,16896,16906.25,16888.75,16897.75
2024-01-10T05:00:00-05:00,16897.5,16901.75,16872,16880.75
2024-01-10T05:30:00-05:00,16880,16880,16866.75,16873.75
2024-01-10T06:00:00-05:00,16875,16884.25,16860.25,16862
2024-01-10T06:30:00-05:00,16861.25,16861.5,16834.5,16847.5
2024-01-10T07:00:00-05:00,16847.25,16866,16847,16862
2024-01-10T07:30:00-05:00,16862.25,16864.5,16840,16841.25
2024-01-10T08:00:00-05:00,16841.5,16848.75,16830.25,16839
